User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 3219
Test name: lum_10_cycles,Date: 2/9/2024,Time: 12:12:06 PM

Luminescence

Well,Content,Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),Raw Data (No filter),
,Time,0 min ,1 min 40 s,3 min 20 s,5 min ,6 min 40 s,8 min 20 s,10 min ,11 min 40 s,13 min 20 s,15 min ,
A01,Sample X1,35,18,12,23,16,16,18,15,26,5,
A02,Sample X2,68,40,83,93,137,177,95,138,152,122,
A03,Sample X3,17,15,28,22,25,18,22,18,35,15,
A04,Sample X4,43,121,117,188,300,350,210,248,256,413,
A05,Sample X5,20,23,26,15,12,12,30,26,18,17,
A06,Sample X6,12,23,23,17,26,45,21,22,13,18,
A07,Sample X7,11,11,18,26,32,22,27,18,12,12,
A08,Sample X8,25,17,30,10,7,12,22,25,23,10,
A09,Sample X9,21,18,17,15,10,12,31,13,16,15,
A10,Sample X10,23,13,16,8,8,22,18,7,36,10,
A11,Sample X11,17,21,18,12,30,28,16,12,27,12,
A12,Sample X12,15,28,18,35,22,22,27,11,6,21,
B01,Sample X13,38,17,15,7,10,10,36,21,17,12,
B02,Sample X14,35,105,163,142,138,140,136,98,127,142,
B03,Sample X15,26,18,11,12,30,25,40,28,37,17,
B04,Sample X16,63,101,116,226,248,232,260,248,351,282,
B05,Sample X17,17,27,12,6,8,26,16,12,11,20,
B06,Sample X18,6,53,7,12,21,13,6,33,55,15,
B07,Sample X19,16,8,8,13,5,17,15,18,11,7,
B08,Sample X20,21,13,22,27,15,20,48,21,31,13,
B09,Sample X21,18,12,11,18,21,15,13,11,20,20,
B10,Sample X22,22,11,10,31,13,15,21,16,16,13,
B11,Sample X23,15,15,20,22,17,23,28,20,11,15,
B12,Sample X24,16,40,72,60,58,32,40,26,38,25,
C01,Sample X25,21,31,3,21,23,7,26,31,13,7,
C02,Sample X26,27,72,56,100,82,78,101,121,107,147,
C03,Sample X27,31,38,18,26,50,28,47,33,27,43,
C04,Sample X28,55,68,112,162,183,151,202,206,208,215,
C05,Sample X29,21,23,13,10,26,11,28,21,16,23,
C06,Sample X30,25,17,16,23,31,32,31,16,41,25,
C07,Sample X31,10,30,15,21,13,26,26,17,11,25,
C08,Sample X32,30,31,15,25,20,20,38,56,6,27,
C09,Sample X33,11,17,22,23,7,8,12,13,15,15,
C10,Sample X34,27,15,25,12,22,26,10,22,30,20,
C11,Sample X35,25,28,31,15,12,22,28,25,15,25,
C12,Sample X36,21,27,47,51,16,40,58,20,37,45,
D01,Sample X37,8,22,7,17,10,16,18,16,18,12,
D02,Sample X38,35,60,90,117,87,132,115,146,103,75,
D03,Sample X39,26,20,7,22,21,12,17,15,20,26,
D04,Sample X40,82,97,98,123,143,148,161,112,138,217,
D05,Sample X41,17,23,22,25,12,12,8,31,13,25,
D06,Sample X42,56,60,26,27,36,16,56,32,28,16,
D07,Sample X43,18,16,11,12,5,21,8,15,5,17,
D08,Sample X44,25,12,18,18,7,18,18,21,25,23,
D09,Sample X45,15,22,31,17,8,18,10,12,63,13,
D10,Sample X46,17,12,7,45,12,10,22,12,22,16,
D11,Sample X47,21,11,25,13,36,33,45,17,5,18,
D12,Sample X48,32,25,31,30,42,48,41,45,33,35,
E01,Sample X49,17,15,38,8,11,15,7,8,16,12,
E02,Sample X50,36,23,25,103,47,40,48,40,36,28,
E03,Sample X51,21,13,10,23,16,20,10,21,21,7,
E04,Sample X52,103,51,72,85,117,182,152,127,150,108,
E05,Sample X53,21,32,6,15,31,32,21,10,13,13,
E06,Sample X54,21,11,20,11,10,28,26,13,13,10,
E07,Sample X55,23,26,10,16,17,18,28,22,33,8,
E08,Sample X56,26,30,45,22,22,7,22,23,15,21,
E09,Sample X57,13,18,16,28,21,7,22,7,11,22,
E10,Sample X58,25,16,7,15,10,7,6,12,22,31,
E11,Sample X59,21,25,28,41,33,28,33,27,7,47,
E12,Sample X60,21,20,21,25,16,28,6,12,16,18,
F01,Sample X61,31,11,15,20,11,21,32,10,17,25,
F02,Sample X62,67,48,46,158,62,86,97,93,111,73,
F03,Sample X63,17,27,13,13,20,10,15,36,12,37,
F04,Sample X64,41,46,77,66,87,107,118,95,118,90,
F05,Sample X65,17,5,13,13,17,18,6,23,6,11,
F06,Sample X66,12,46,31,23,13,33,23,8,23,13,
F07,Sample X67,18,25,12,17,20,28,36,13,25,18,
F08,Sample X68,18,28,22,33,17,21,25,21,27,25,
F09,Sample X69,21,8,26,23,22,25,17,11,13,17,
F10,Sample X70,48,10,20,10,13,18,20,8,17,38,
F11,Sample X71,13,11,26,16,20,23,20,48,12,23,
F12,Sample X72,16,35,30,18,40,26,30,51,45,27,
G01,Sample X73,17,16,18,6,28,12,16,13,8,21,
G02,Sample X74,35,37,37,53,28,32,50,37,36,30,
G03,Sample X75,26,15,22,18,11,8,17,12,20,10,
G04,Sample X76,65,67,62,52,37,28,36,37,60,35,
G05,Sample X77,28,13,11,36,10,11,17,23,18,15,
G06,Sample X78,42,22,13,10,11,25,33,20,13,26,
G07,Sample X79,6,18,18,6,13,21,8,26,17,6,
G08,Sample X80,18,25,3,42,22,8,26,13,22,16,
G09,Sample X81,3,18,22,21,12,11,17,13,16,15,
G10,Sample X82,20,18,15,16,6,21,6,16,25,17,
G11,Sample X83,17,15,11,16,11,48,23,12,21,23,
G12,Sample X84,31,30,13,21,35,32,10,18,17,31,
H01,Sample X85,12,13,20,10,13,15,23,17,16,16,
H02,Sample X86,21,30,35,51,36,32,17,21,28,27,
H03,Sample X87,16,26,21,15,18,26,18,23,17,26,
H04,Sample X88,62,57,75,75,37,60,60,73,46,57,
H05,Sample X89,13,17,11,23,11,12,22,23,8,16,
H06,Sample X90,15,6,8,26,6,31,18,12,6,13,
H07,Sample X91,8,13,15,18,12,21,13,25,31,23,
H08,Sample X92,20,23,17,18,21,31,26,28,18,88,
H09,Sample X93,36,22,17,15,17,62,23,11,25,7,
H10,Sample X94,23,22,17,12,28,30,15,13,65,7,
H11,Sample X95,10,25,57,32,25,26,16,21,11,18,
H12,Sample X96,17,36,25,11,18,30,7,23,22,15,
