User: USER,Path: C:\Program Files (x86)\BMG\CLARIOstar\User\Data,Test run no.: 3218
Test name: Lum_1_Cycle,Date: 2/9/2024,Time: 12:10:36 PM

ID1: 02092024_Lu,ID2: 1,ID3: blank,
Luminescence

Well,Content,Raw Data (No filter),
A01,Sample X1,25,
A02,Sample X2,25,
A03,Sample X3,25,
A04,Sample X4,175,
A05,Sample X5,25,
A06,Sample X6,25,
A07,Sample X7,25,
A08,Sample X8,25,
A09,Sample X9,25,
A10,Sample X10,50,
A11,Sample X11,25,
A12,Sample X12,50,
B01,Sample X13,50,
B02,Sample X14,50,
B03,Sample X15,100,
B04,Sample X16,50,
B05,Sample X17,25,
B06,Sample X18,25,
B07,Sample X19,25,
B08,Sample X20,25,
B09,Sample X21,25,
B10,Sample X22,75,
B11,Sample X23,25,
B12,Sample X24,100,
C01,Sample X25,25,
C02,Sample X26,125,
C03,Sample X27,25,
C04,Sample X28,100,
C05,Sample X29,25,
C06,Sample X30,25,
C07,Sample X31,50,
C08,Sample X32,25,
C09,Sample X33,75,
C10,Sample X34,25,
C11,Sample X35,25,
C12,Sample X36,25,
D01,Sample X37,25,
D02,Sample X38,100,
D03,Sample X39,75,
D04,Sample X40,150,
D05,Sample X41,25,
D06,Sample X42,25,
D07,Sample X43,25,
D08,Sample X44,25,
D09,Sample X45,75,
D10,Sample X46,50,
D11,Sample X47,25,
D12,Sample X48,25,
E01,Sample X49,25,
E02,Sample X50,25,
E03,Sample X51,25,
E04,Sample X52,25,
E05,Sample X53,100,
E06,Sample X54,25,
E07,Sample X55,25,
E08,Sample X56,25,
E09,Sample X57,25,
E10,Sample X58,100,
E11,Sample X59,75,
E12,Sample X60,50,
F01,Sample X61,25,
F02,Sample X62,25,
F03,Sample X63,125,
F04,Sample X64,25,
F05,Sample X65,25,
F06,Sample X66,25,
F07,Sample X67,25,
F08,Sample X68,25,
F09,Sample X69,25,
F10,Sample X70,25,
F11,Sample X71,25,
F12,Sample X72,25,
G01,Sample X73,25,
G02,Sample X74,25,
G03,Sample X75,25,
G04,Sample X76,25,
G05,Sample X77,25,
G06,Sample X78,100,
G07,Sample X79,50,
G08,Sample X80,100,
G09,Sample X81,25,
G10,Sample X82,50,
G11,Sample X83,25,
G12,Sample X84,25,
H01,Sample X85,25,
H02,Sample X86,25,
H03,Sample X87,25,
H04,Sample X88,25,
H05,Sample X89,25,
H06,Sample X90,25,
H07,Sample X91,25,
H08,Sample X92,25,
H09,Sample X93,25,
H10,Sample X94,75,
H11,Sample X95,25,
H12,Sample X96,25,
